id,f1,auc,ap,acc,bacc,prec,rec,jac,n,scope,scope_class,scope_subclass,ec,ec_class,ec_subclass,organism,reign
3bju_3,0.3025210084033613,0.8287772232304901,0.2089240332355609,0.8346613545816733,0.6689541742286751,0.2222222222222222,0.47368421052631576,0.1782178217821782,502,d.104.1.0,d,d.104,6.1.1.6,6,6.1,Homo sapiens,Eukaryota
3gol_2,0.47706422018348627,0.960735171261487,0.5341426696644355,0.8980322003577818,0.928849902534113,0.3170731707317073,0.9629629629629629,0.3132530120481928,559,e.8.1.4,e,e.8,2.7.7.48,2,2.7,Hepatitis c virus,Viruses
3akn_1,0.6666666666666666,0.8979947689625108,0.7619516614742626,0.7307692307692307,0.7955536181342633,0.5147058823529411,0.9459459459459459,0.5,130,b.60.1.2,b,b.60,,-,-,Rattus norvegicus,Eukaryota
1mp8_1,0.7317073170731707,0.9900900900900902,0.9301117719515011,0.9126984126984127,0.9504504504504505,0.5769230769230769,1.0,0.5769230769230769,252,d.144.1.7,d,d.144,2.7.10.2,2,2.7,Homo sapiens,Eukaryota
1ey3_2,0.1935483870967742,0.7678614603481625,0.09672218483487889,0.9192506459948321,0.6385396518375241,0.13513513513513514,0.3409090909090909,0.10714285714285714,1548,c.14.1.3,c,c.14,4.2.1.17,4,4.2,Rattus norvegicus,Eukaryota
2f7z_1,0.6115702479338843,0.9682115991264257,0.8587664177807695,0.8679775280898876,0.9033810563779018,0.45121951219512196,0.9487179487179487,0.44047619047619047,356,d.144.1.7,d,d.144,2.7.11.11,2,2.7,Bos taurus,Eukaryota
4afg_2,0.1793103448275862,0.7618724559023067,0.14784828711658868,0.7193396226415094,0.6586386250565355,0.10569105691056911,0.5909090909090909,0.09848484848484848,424,b.96.1.0,b,b.96,,-,-,Capitella teleta,Eukaryota
4bqr_1,0.3652173913043478,0.9175204918032787,0.6214981932362332,0.7276119402985075,0.7940573770491803,0.23076923076923078,0.875,0.22340425531914893,268,c.2.1.2,c,c.2,1.3.1.9,1,1.3,Mycobacterium tuberculosis,Bacteria
3c5u_2,0.6666666666666666,0.951980666176316,0.7809470535073704,0.9171597633136095,0.9108962908479563,0.5283018867924528,0.9032258064516129,0.5,338,d.144.1.7,d,d.144,2.7.11.24,2,2.7,Homo sapiens,Eukaryota
1it8_1,0.2891566265060241,0.9024614676788589,0.17293410838426418,0.9488734835355286,0.7027013704032338,0.21428571428571427,0.4444444444444444,0.16901408450704225,1154,,-,-,2.4.2.48,2,2.4,Pyrococcus horikoshii,-
1tkt_1,0.5054945054945055,0.9874015748031496,0.696862005152903,0.9507658643326039,0.9358155230596176,0.3484848484848485,0.92,0.3382352941176471,914,e.8.1.2,e,e.8,2.7.7.49,2,2.7,Human immunodeficiency virus,Viruses
1yli_1,0.3111111111111111,0.7105928308823529,0.22685565505340152,0.6793103448275862,0.6525735294117647,0.2079207920792079,0.6176470588235294,0.18421052631578946,290,d.38.1.1,d,d.38,3.1.2.-,3,3.1,Haemophilus influenzae,Bacteria
2x9n_2,0.11214953271028037,0.8770491803278688,0.08419889867591294,0.9042338709677419,0.6439549180327868,0.06593406593406594,0.375,0.0594059405940594,992,c.2.1.0,c,c.2,1.5.1.33,1,1.5,Trypanosoma brucei,Eukaryota
1bcp_1,0.0,0.8106757067340842,0.0622400226647434,0.9748663101604278,0.49754366812227074,0.0,0.0,0.0,1870,d.169.1.2,d,d.169,2.4.2.-,2,2.4,Bordetella pertussis,Bacteria
4cx5_2,0.09836065573770492,0.7726103404791929,0.08418056139631967,0.9327628361858191,0.5391929382093317,0.08333333333333333,0.12,0.05172413793103448,818,d.174.1.1,d,d.174,1.14.13.39,1,1.14,Rattus norvegicus,Eukaryota
1yqj_1,0.6966292134831461,0.9814453952384987,0.8948665388464072,0.9241573033707865,0.8860035584173516,0.5961538461538461,0.8378378378378378,0.5344827586206896,356,l.1.1.1,l,l.1,2.7.11.24,2,2.7,Homo sapiens,Eukaryota
1xve_3,0.0,0.747366240530303,0.020907589205586337,0.9854323308270677,0.49644886363636365,0.0,0.0,0.0,2128,a.25.1.2,a,a.25,1.14.13.25,1,1.14,Methylococcus capsulatus,Bacteria
3w0t_2,0.2608695652173913,0.7708824774693038,0.17146216213701315,0.8408239700374532,0.6604064598076574,0.18292682926829268,0.45454545454545453,0.15,534,d.32.1.1,d,d.32,4.4.1.5,4,4.4,Homo sapiens,Eukaryota
2hh5_2,0.45962732919254656,0.9030885780885781,0.505922408123327,0.7995391705069125,0.8178904428904429,0.3162393162393162,0.8409090909090909,0.29838709677419356,434,d.3.1.1,d,d.3,3.4.22.27,3,3.4,Homo sapiens,Eukaryota
1dj3_2,0.19540229885057472,0.8123334491947631,0.12719200433745673,0.8379629629629629,0.632429614181439,0.12878787878787878,0.40476190476190477,0.10828025477707007,864,c.37.1.10,c,c.37,6.3.4.4,6,6.3,Triticum aestivum,Eukaryota
1d6n_1,0.15555555555555556,0.7654214970659796,0.08579533533540838,0.6448598130841121,0.7304994990697009,0.08588957055214724,0.8235294117647058,0.08433734939759036,428,,-,-,2.4.2.8,2,2.4,Homo sapiens,-
4dpg_8,0.23214285714285715,0.8098069300600946,0.1725090293559472,0.8303747534516766,0.62734944380514,0.16455696202531644,0.3939393939393939,0.13131313131313133,507,d.104.1.0,d,d.104,6.1.1.6,6,6.1,Homo sapiens,Eukaryota
3ofm_1,0.7142857142857143,0.9858502701312066,0.8632084690894612,0.9384615384615385,0.9489966555183946,0.5681818181818182,0.9615384615384616,0.5555555555555556,325,d.144.1.7,d,d.144,2.7.11.1,2,2.7,Homo sapiens,Eukaryota
4c4i_1,0.6046511627906976,0.9729596853490659,0.8770575796816771,0.8656126482213439,0.9084726319239593,0.4406779661016949,0.9629629629629629,0.43333333333333335,253,l.1.1.1,l,l.1,2.7.12.1,2,2.7,Homo sapiens,Eukaryota
1ei1_1,0.35121951219512193,0.8870719389012074,0.25693805070905273,0.829923273657289,0.8244025622074402,0.2236024844720497,0.8181818181818182,0.21301775147928995,782,d.122.1.2,d,d.122,5.6.2.2,5,5.6,Escherichia coli,Bacteria
1e3v_1,0.3119266055045872,0.7404865876481598,0.291044299320857,0.708171206225681,0.663833437305053,0.20987654320987653,0.6071428571428571,0.18478260869565216,257,d.17.4.3,d,d.17,5.3.3.1,5,5.3,Pseudomonas putida,Bacteria
1p52_1,0.46,0.8328368090036411,0.39380336663639,0.848314606741573,0.7413108242303873,0.3709677419354839,0.6052631578947368,0.2987012987012987,356,d.128.1.2,d,d.128,2.7.3.3,2,2.7,Limulus polyphemus,Eukaryota
4ju4_1,0.0594059405940594,0.6555781276451668,0.05820125448469002,0.8300536672629696,0.4974183172507195,0.0379746835443038,0.13636363636363635,0.030612244897959183,559,e.8.1.4,e,e.8,2.7.7.48,2,2.7,Hepatitis c virus,Viruses
3vdc_3,0.18181818181818182,0.8700473352033661,0.12413351913343912,0.929064039408867,0.6451832047685835,0.12307692307692308,0.34782608695652173,0.1,1015,c.1.8.3,c,c.1,3.2.1.23,3,3.2,Escherichia coli,Bacteria
4dli_1,0.047619047619047616,0.558367118691458,0.0740853820046926,0.7604790419161677,0.4486229554033273,0.03278688524590164,0.08695652173913043,0.024390243902439025,334,d.144.1.7,d,d.144,2.7.11.24,2,2.7,Homo sapiens,Eukaryota
2xi3_2,0.1978021978021978,0.7774274905422447,0.08682198790053008,0.9350533807829181,0.6475760123301106,0.13846153846153847,0.34615384615384615,0.10975609756097561,1124,e.8.1.4,e,e.8,2.7.7.48,2,2.7,Hepatitis c virus,Viruses
3huc_1,0.525,0.974025974025974,0.7836716803574804,0.887240356083086,0.9185425685425685,0.3620689655172414,0.9545454545454546,0.3559322033898305,337,d.144.1.7,d,d.144,2.7.11.24,2,2.7,Homo sapiens,Eukaryota
2bbw_2,0.4117647058823529,0.7585249801744647,0.36439509318967567,0.8181818181818182,0.697065820777161,0.3333333333333333,0.5384615384615384,0.25925925925925924,440,g.41.2.0,g,g.41,2.7.4.4,2,2.7,Homo sapiens,Eukaryota
2vd1_1,0.1411764705882353,0.7783510638297872,0.07881241222654745,0.9060489060489061,0.584095744680851,0.1,0.24,0.0759493670886076,777,,-,-,2.5.1.18,2,2.5,Homo sapiens,-
3c0z_2,0.5797101449275363,0.9804597701149426,0.7576257222309853,0.9211956521739131,0.9583333333333333,0.40816326530612246,1.0,0.40816326530612246,368,c.42.1.2,c,c.42,3.5.1.98,3,3.5,Homo sapiens,Eukaryota
1qxl_1,0.5142857142857142,0.90542071197411,0.6397496476064095,0.8538681948424068,0.7760113268608415,0.4153846153846154,0.675,0.34615384615384615,349,c.1.9.1,c,c.1,3.5.4.4,3,3.5,Bos taurus,Eukaryota
4l9k_1,0.0,0.7884394580585901,0.059740886513632435,0.9455017301038062,0.4840566873339238,0.0,0.0,0.0,1156,a.126.1.1,a,a.126,,-,-,Homo sapiens,Eukaryota
2vhq_2,0.17543859649122806,0.7707096600107933,0.11664597538821111,0.8962472406181016,0.6069212088505127,0.125,0.29411764705882354,0.09615384615384616,906,c.37.1.11,c,c.37,,-,-,Pseudomonas phage,Viruses
1uy9_1,0.47619047619047616,0.8936329588014982,0.5834989695242593,0.6826923076923077,0.8146067415730337,0.3125,1.0,0.3125,208,d.122.1.1,d,d.122,3.6.4.10,3,3.6,Homo sapiens,Eukaryota
4i0s_1,0.7088607594936709,0.9918864097363083,0.9588460709150363,0.9138576779026217,0.9365401332946972,0.56,0.9655172413793104,0.5490196078431373,267,l.1.1.1,l,l.1,2.7.10.2,2,2.7,Homo sapiens,Eukaryota
3nlw_2,0.3064516129032258,0.9007685352622061,0.18827181701935009,0.8948655256723717,0.7905515370705245,0.19791666666666666,0.6785714285714286,0.18095238095238095,818,d.174.1.1,d,d.174,1.14.13.39,1,1.14,Rattus norvegicus,Eukaryota
3ufo_2,0.26666666666666666,0.8910940325497287,0.19213150245241536,0.8924205378973105,0.737613019891501,0.17391304347826086,0.5714285714285714,0.15384615384615385,818,d.174.1.1,d,d.174,1.14.13.39,1,1.14,Rattus norvegicus,Eukaryota
2a0f_1,0.22429906542056074,0.8575169686280797,0.1281190258038098,0.9089912280701754,0.7441879108545775,0.13953488372093023,0.5714285714285714,0.12631578947368421,912,,-,-,2.1.3.2,2,2.1,Escherichia coli,-
4w9w_1,0.647887323943662,0.9662633451957295,0.7783543647426551,0.9183006535947712,0.9190747330960854,0.5,0.92,0.4791666666666667,306,d.144.1.0,d,d.144,2.7.11.1,2,2.7,Homo sapiens,Eukaryota
1x01_2,0.368,0.8075533661740558,0.25583195808333714,0.8319148936170213,0.7515599343185551,0.25555555555555554,0.6571428571428571,0.22549019607843138,470,d.104.1.2,d,d.104,6.3.4.15,6,6.3,Pyrococcus horikoshii,Archaea
1pno_2,0.43386243386243384,0.8630554748765611,0.3457868900657971,0.7002801120448179,0.7997749056055765,0.2827586206896552,0.9318181818181818,0.27702702702702703,357,l.1.1.1,l,l.1,7.1.1.1,7,7.1,Rhodospirillum rubrum,Bacteria
1j0d_2,0.18006430868167203,0.8577512305735302,0.11600431050870477,0.8130498533724341,0.7500046088896264,0.1037037037037037,0.6829268292682927,0.0989399293286219,1364,c.79.1.1,c,c.79,3.5.99.7,3,3.5,Cyberlindnera saturnus,Eukaryota
3ekr_2,0.5185185185185185,0.9443609022556392,0.6831256826691279,0.7614678899082569,0.8631578947368421,0.35,1.0,0.35,218,l.1.1.1,l,l.1,3.6.4.10,3,3.6,Homo sapiens,Eukaryota
1wbt_1,0.5054945054945055,0.8012820512820513,0.43584219444952393,0.8717948717948718,0.7483974358974359,0.4423076923076923,0.5897435897435898,0.3382352941176471,351,d.144.1.7,d,d.144,2.7.11.24,2,2.7,Homo sapiens,Eukaryota
1fm8_1,0.21714285714285714,0.7830021457225488,0.23178862574510062,0.6768867924528302,0.6893833379979476,0.12837837837837837,0.7037037037037037,0.12179487179487179,424,d.36.1.1,d,d.36,5.5.1.6,5,5.5,Medicago sativa,Eukaryota
2j0s_1,0.4067796610169492,0.8881009896360944,0.3872865181064422,0.8950524737631185,0.7503506584586612,0.3116883116883117,0.5853658536585366,0.2553191489361702,667,c.37.1.19,c,c.37,3.6.4.13,3,3.6,Homo sapiens,Eukaryota
4kwh_2,0.647887323943662,0.9662480376766092,0.9056461459468865,0.8054474708171206,0.8564069858712716,0.4946236559139785,0.9387755102040817,0.4791666666666667,257,l.1.1.1,l,l.1,1.1.1.100,1,1.1,Streptomyces cyanogenus,Bacteria
3bzu_1,0.2709677419354839,0.8424834722621444,0.24449044959102284,0.7847619047619048,0.7683601609657948,0.16535433070866143,0.75,0.15671641791044777,525,c.2.1.2,c,c.2,1.1.1.146,1,1.1,Homo sapiens,Eukaryota
1o68_3,0.07407407407407407,0.770260989010989,0.06592276233333885,0.9211977935382191,0.5619848901098901,0.04597701149425287,0.19047619047619047,0.038461538461538464,1269,,-,-,2.1.2.11,2,2.1,Neisseria meningitidis,-
3rin_1,0.7191011235955056,0.9740859069932553,0.8323121098417527,0.9283667621776505,0.9108981185658502,0.6037735849056604,0.8888888888888888,0.5614035087719298,349,d.144.1.7,d,d.144,2.7.11.24,2,2.7,Homo sapiens,Eukaryota
1jd0_1,0.2222222222222222,0.8334502103786816,0.15534439492969473,0.8111753371868978,0.7146300841514727,0.13592233009708737,0.6086956521739131,0.125,519,b.74.1.1,b,b.74,4.2.1.1,4,4.2,Homo sapiens,Eukaryota
4jnk_2,0.2828282828282828,0.7194564969171043,0.17324697792248614,0.7854984894259819,0.6486640785567481,0.2,0.4827586206896552,0.16470588235294117,331,d.162.1.1,d,d.162,1.1.1.27,1,1.1,Homo sapiens,Eukaryota
4b8u_1,0.3717948717948718,0.8852188818565401,0.34510735201205894,0.8063241106719368,0.852914029535865,0.23387096774193547,0.90625,0.2283464566929134,506,d.38.1.2,d,d.38,4.2.1.59,4,4.2,Pseudomonas aeruginosa,Bacteria
1k2s_1,0.23809523809523808,0.9130982367758187,0.19592760504859474,0.8824969400244798,0.7706713393932756,0.14563106796116504,0.6521739130434783,0.13513513513513514,817,d.174.1.1,d,d.174,1.14.13.39,1,1.14,Rattus norvegicus,Eukaryota
1klm_1,0.5652173913043478,0.9595123626373626,0.5831248825979377,0.9575371549893843,0.8875686813186814,0.43333333333333335,0.8125,0.3939393939393939,942,e.8.1.2,e,e.8,2.7.7.49,2,2.7,Human immunodeficiency virus,Viruses
2i6a_1,0.12745098039215685,0.7756570192947438,0.07571395971239375,0.8702623906705539,0.6225465735196274,0.07738095238095238,0.3611111111111111,0.06806282722513089,1372,c.72.1.1,c,c.72,2.7.1.20,2,2.7,Homo sapiens,Eukaryota
4i56_1,0.208,0.756501182033097,0.13833973882186396,0.8678237650200267,0.5920015760441293,0.16666666666666666,0.2765957446808511,0.11607142857142858,749,d.179.1.1,d,d.179,1.1.1.88,1,1.1,Pseudomonas mevalonii,Bacteria
1wet_1,0.36363636363636365,0.9354142692750287,0.6166208684867812,0.7928994082840237,0.8469505178365937,0.22727272727272727,0.9090909090909091,0.2222222222222222,338,c.93.1.1,c,c.93,,-,-,Escherichia coli,Bacteria
3qyw_1,0.6329113924050633,0.9883174603174603,0.8608369841725351,0.9147058823529411,0.9539682539682539,0.46296296296296297,1.0,0.46296296296296297,340,d.144.1.7,d,d.144,2.7.11.24,2,2.7,Rattus norvegicus,Eukaryota
1vru_1,0.49122807017543857,0.9892669559260105,0.7616294543010861,0.9379679144385027,0.9513016670472711,0.32941176470588235,0.9655172413793104,0.32558139534883723,935,e.8.1.2,e,e.8,2.7.7.49,2,2.7,Human immunodeficiency virus,Viruses
1nbo_1,0.4166666666666667,0.8981290747308288,0.38840542915531356,0.902970297029703,0.813438382637134,0.29411764705882354,0.7142857142857143,0.2631578947368421,1010,l.1.1.1,l,l.1,1.2.1.13,1,1.2,Spinacia oleracea,Eukaryota
1rti_1,0.5,0.9851532567049808,0.664792211064638,0.9455497382198953,0.9540030332056194,0.33766233766233766,0.9629629629629629,0.3333333333333333,955,e.8.1.2,e,e.8,2.7.7.49,2,2.7,Human immunodeficiency virus,Viruses
3fne_3,0.4628099173553719,0.9397163120567376,0.7296931643418009,0.7547169811320755,0.8326241134751773,0.3076923076923077,0.9333333333333333,0.3010752688172043,265,c.2.1.2,c,c.2,1.3.1.9,1,1.3,Mycobacterium tuberculosis,Bacteria
3td8_1,0.5979381443298969,0.9205750224618149,0.8193654082633434,0.7989690721649485,0.8105121293800539,0.46774193548387094,0.8285714285714286,0.4264705882352941,194,c.71.1.1,c,c.71,1.5.1.3,1,1.5,Pneumocystis carinii,Eukaryota
4oim_1,0.46551724137931033,0.8684675586972986,0.5119982416620601,0.7677902621722846,0.7790330724564504,0.32926829268292684,0.7941176470588235,0.30337078651685395,267,,-,-,1.3.1.9,1,1.3,Mycobacterium tuberculosis,-
3u9f_13,0.4067796610169492,0.8896477946017116,0.44090867318714044,0.83451536643026,0.8067396313364055,0.27586206896551724,0.7741935483870968,0.2553191489361702,423,c.43.1.1,c,c.43,2.3.1.28,2,2.3,Escherichia coli,Bacteria
2ov2_2,0.0,0.7800632911392404,0.06483335634340186,0.9729252501471454,0.49819168173598555,0.0,0.0,0.0,1699,l.1.1.1,l,l.1,3.6.5.2,3,3.6,Homo sapiens,Eukaryota
1c0u_1,0.6185567010309279,0.988266610626598,0.6850608872829258,0.9611344537815126,0.9643269938005674,0.45454545454545453,0.967741935483871,0.44776119402985076,952,,-,-,2.7.7.49,2,2.7,Human immunodeficiency virus,-
2b37_1,0.2,0.8767914438502673,0.19274084175942696,0.9421433267587114,0.6952673796791444,0.12941176470588237,0.44,0.1111111111111111,1521,c.2.1.2,c,c.2,1.3.1.9,1,1.3,Mycobacterium tuberculosis,Bacteria
3gxf_1,0.3877551020408163,0.9674055368499814,0.31407760789915345,0.9396378269617707,0.9024971941638609,0.25,0.8636363636363636,0.24050632911392406,994,c.1.8.3,c,c.1,3.2.1.45,3,3.2,Homo sapiens,Eukaryota
2bxn_1,0.2608695652173913,0.8054856811145511,0.18286506349666765,0.8831615120274914,0.6192917956656347,0.2222222222222222,0.3157894736842105,0.15,582,a.126.1.1,a,a.126,,-,-,Homo sapiens,Eukaryota
1eyq_1,0.24277456647398843,0.797293758184199,0.23054446007797413,0.6910377358490566,0.7063727629855958,0.14583333333333334,0.7241379310344828,0.13815789473684212,424,d.36.1.1,d,d.36,5.5.1.6,5,5.5,Medicago sativa,Eukaryota
1pj2_5,0.2983425414364641,0.8612655751209968,0.1695539837020978,0.9425858951175407,0.7268303985171455,0.2125984251968504,0.5,0.17532467532467533,2212,c.58.1.3,c,c.58,1.1.1.38,1,1.1,Homo sapiens,Eukaryota
3iph_1,0.7209302325581395,0.9741100323624595,0.8275742816103473,0.9304347826086956,0.8998112189859763,0.62,0.8611111111111112,0.5636363636363636,345,d.144.1.7,d,d.144,2.7.11.24,2,2.7,Homo sapiens,Eukaryota
2i62_1,0.24793388429752067,0.9069459951812893,0.193249457597822,0.9120772946859903,0.6846241993300817,0.1724137931034483,0.4411764705882353,0.14150943396226415,1035,c.66.1.0,c,c.66,2.1.1.1,2,2.1,Mus musculus,Eukaryota
2e37_3,0.09009009009009009,0.8488186158852276,0.07106353249812129,0.958842705786471,0.5532936743114649,0.06756756756756757,0.13513513513513514,0.04716981132075472,2454,d.162.1.0,d,d.162,1.1.1.27,1,1.1,Thermus thermophilus,Bacteria
2vdb_1,0.15584415584415584,0.8054511278195489,0.10032253921617518,0.8966613672496025,0.6017387218045113,0.10714285714285714,0.2857142857142857,0.08450704225352113,629,,-,-,,-,-,Homo sapiens,-
2yef_1,0.6476190476190476,0.962508080155139,0.8267885819031151,0.8287037037037037,0.8983516483516483,0.4788732394366197,1.0,0.4788732394366197,216,d.122.1.1,d,d.122,3.6.4.10,3,3.6,Homo sapiens,Eukaryota
1y3a_1,0.19834710743801653,0.7719262295081967,0.15963282381083105,0.9227707006369427,0.6367486338797814,0.1411764705882353,0.3333333333333333,0.11009174311926606,1256,c.37.1.8,c,c.37,3.6.5.-,3,3.6,Homo sapiens,Eukaryota
3zrm_1,0.625,0.9934796238244514,0.9410253753644291,0.9127906976744186,0.9529780564263323,0.45454545454545453,1.0,0.45454545454545453,344,d.144.1.7,d,d.144,2.7.11.1,2,2.7,Homo sapiens,Eukaryota
1xdk_2,0.11764705882352941,0.804106170598911,0.15994071278924368,0.953416149068323,0.5340857531760436,0.23076923076923078,0.07894736842105263,0.0625,966,a.123.1.1,a,a.123,,-,-,Mus musculus,Eukaryota
1jlg_1,0.5052631578947369,0.9752444023967204,0.6787391525983749,0.949678800856531,0.9048407442447177,0.3582089552238806,0.8571428571428571,0.3380281690140845,934,e.8.1.2,e,e.8,2.7.7.49,2,2.7,Human immunodeficiency virus,Viruses
2f7e_1,0.5691056910569106,0.9760230449885622,0.8557516761559998,0.851123595505618,0.8930356688977379,0.4069767441860465,0.9459459459459459,0.3977272727272727,356,d.144.1.7,d,d.144,2.7.11.11,2,2.7,Bos taurus,Eukaryota
2i47_1,0.02197802197802198,0.4487814702920443,0.023615176333128034,0.912573673870334,0.48727089627391745,0.015151515151515152,0.04,0.011111111111111112,1018,d.92.1.10,d,d.92,3.4.24.86,3,3.4,Homo sapiens,Eukaryota
1o9u_1,0.4358974358974359,0.993109243697479,0.8938079968504755,0.8801089918256131,0.9371428571428572,0.2786885245901639,1.0,0.2786885245901639,367,,-,-,2.7.11.1,2,2.7,Homo sapiens,-
4xiw_1,0.21666666666666667,0.8598265895953757,0.13129282075555948,0.8683473389355743,0.7340383604834473,0.1326530612244898,0.5909090909090909,0.12149532710280374,714,b.74.1.0,b,b.74,4.2.1.1,4,4.2,Chlamydomonas reinhardtii,Eukaryota
4m0e_1,0.3058823529411765,0.88701171875,0.3109782287474827,0.8890977443609023,0.77421875,0.2,0.65,0.18055555555555555,532,c.69.1.1,c,c.69,3.1.1.7,3,3.1,Homo sapiens,Eukaryota
4i7f_1,0.5,0.9093125734430083,0.6979040387688014,0.9435736677115988,0.8409518213866041,0.38028169014084506,0.7297297297297297,0.3333333333333333,957,e.8.1.2,e,e.8,2.7.7.49,2,2.7,Human immunodeficiency virus,Viruses
4blr_2,0.3106796116504854,0.8466970640569396,0.23339257505361127,0.8804713804713805,0.7010676156583631,0.22535211267605634,0.5,0.1839080459770115,594,c.37.1.11,c,c.37,,-,-,Pseudomonas phage,Viruses
2rku_1,0.7435897435897436,0.9827020202020202,0.8683227154411868,0.9319727891156463,0.9473484848484848,0.6041666666666666,0.9666666666666667,0.5918367346938775,294,d.144.1.0,d,d.144,2.7.11.21,2,2.7,Homo sapiens,Eukaryota
2npf_1,0.18556701030927836,0.8061480552070264,0.17054623999930565,0.9516819571865444,0.5950133121155553,0.16071428571428573,0.21951219512195122,0.10227272727272728,1635,d.58.11.1,d,d.58,3.6.5.-,3,3.6,Saccharomyces cerevisiae,Eukaryota
3o0i_1,0.5818181818181818,0.9503042596348884,0.8423642136070242,0.7788461538461539,0.8441514536849222,0.42105263157894735,0.9411764705882353,0.41025641025641024,208,d.122.1.1,d,d.122,3.6.4.10,3,3.6,Homo sapiens,Eukaryota
2ce7_2,0.16470588235294117,0.9140753284072249,0.12477429651842681,0.9712317666126418,0.5999332922824302,0.1320754716981132,0.21875,0.08974358974358974,2468,c.37.1.20,c,c.37,3.4.24.-,3,3.4,Thermotoga maritima,Bacteria
2puj_1,0.5,0.9438044034818228,0.7176588448529109,0.7950530035335689,0.8566308243727598,0.3411764705882353,0.9354838709677419,0.3333333333333333,283,c.69.1.10,c,c.69,3.7.1.8,3,3.7,Paraburkholderia xenovorans,Bacteria
1tfz_1,0.28888888888888886,0.8056972789115646,0.35146375146658304,0.8241758241758241,0.6592261904761905,0.20967741935483872,0.4642857142857143,0.16883116883116883,364,d.32.1.3,d,d.32,1.13.11.27,1,1.13,Arabidopsis thaliana,Eukaryota
4erk_1,0.6216216216216216,0.9920223374551256,0.8698533030035684,0.92,0.9571865443425076,0.45098039215686275,1.0,0.45098039215686275,350,d.144.1.7,d,d.144,2.7.11.24,2,2.7,Rattus norvegicus,Eukaryota
