,PDB,CHAIN,SP_PRIMARY,RES_BEG,RES_END,PDB_BEG,PDB_END,SP_BEG,SP_END
1755,1ad3,B,P11883,2,452,2,,3,453
1758,1ad5,A,P08631,1,438,82,531,79,526
1759,1ad5,B,P08631,1,438,82,531,79,526
1765,1adb,A,P00327,1,374,1,374,2,375
1766,1adb,B,P00327,1,374,1,374,2,375
1767,1adc,A,P00327,1,374,1,374,2,375
1768,1adc,B,P00327,1,374,1,374,2,375
1772,1adf,A,P00327,1,374,1,374,2,375
1788,1ads,A,P15121,1,315,1,315,2,316
1801,1ae1,A,P50162,1,273,,273,1,273
1802,1ae1,B,P50162,1,273,,273,1,273
1809,1ae8,H,P00734,1,259,16,247,364,622
1810,1ae8,I,P01050,1,10,55,64,55,64
1811,1ae8,L,P00734,1,36,1H,15,328,363
1845,1af0,A,P23694,1,471,,471,17,487
1853,1af7,A,P07801,1,274,11,284,11,284
1882,1afe,H,P00734,1,259,16,247,364,622
1883,1afe,I,P01050,1,10,55,64,55,64
1884,1afe,L,P00734,1,36,1H,15,328,363
1904,1afs,A,P23457,1,322,1,,1,322
1905,1afs,B,P23457,1,322,1,,1,322
1944,1agn,A,P40394,1,373,1,374,14,386
1945,1agn,B,P40394,1,373,1,374,14,386
1946,1agn,C,P40394,1,373,1,374,14,386
1947,1agn,D,P40394,1,373,1,374,14,386
1960,1agw,A,P11362,1,310,,,456,765
1961,1agw,B,P11362,1,310,,,456,765
1964,1ah0,A,P80276,2,316,1,315,2,316
1967,1ah3,A,P80276,1,315,1,315,2,316
1968,1ah4,A,P80276,1,315,1,315,2,316
1976,1ahb,A,P16094,1,246,1,246,24,269
1983,1ahg,A,P00509,1,396,5,409,1,396
1984,1ahg,B,P00509,1,396,5,409,1,396
1985,1ahh,A,P0AET8,1,255,1,,1,255
1986,1ahh,B,P0AET8,1,255,1,,1,255
1987,1ahi,A,P0AET8,1,255,1,255,1,255
1988,1ahi,B,P0AET8,1,255,1,255,1,255
2000,1ahn,A,P61949,1,175,2,,2,176
2028,1ai0,A,P01308,1,21,1,21,90,110
2029,1ai0,B,P01308,1,30,1,30,25,54
2030,1ai0,C,P01308,1,21,1,21,90,110
2031,1ai0,D,P01308,1,30,1,30,25,54
2032,1ai0,E,P01308,1,21,1,21,90,110
2033,1ai0,F,P01308,1,30,1,30,25,54
2034,1ai0,G,P01308,1,21,1,21,90,110
2035,1ai0,H,P01308,1,30,1,30,25,54
2036,1ai0,I,P01308,1,21,1,21,90,110
2037,1ai0,J,P01308,1,30,1,30,25,54
2038,1ai0,K,P01308,1,21,1,21,90,110
2039,1ai0,L,P01308,1,30,1,30,25,54
2056,1ai9,A,P22906,1,192,1,192,1,192
2057,1ai9,B,P22906,1,192,1,192,1,192
2064,1aid,A,P03369,1,99,1,99,491,589
2065,1aid,B,P03369,1,99,1,99,491,589
2099,1aiq,A,P0A884,1,264,1,264,1,264
2100,1aiq,B,P0A884,1,264,1,264,1,264
2110,1aiy,A,P01308,1,21,1,21,90,110
2111,1aiy,B,P01308,1,30,1,30,25,54
2112,1aiy,C,P01308,1,21,1,21,90,110
2113,1aiy,D,P01308,1,30,1,30,25,54
2114,1aiy,E,P01308,1,21,1,21,90,110
2115,1aiy,F,P01308,1,30,1,30,25,54
2116,1aiy,G,P01308,1,21,1,21,90,110
2117,1aiy,H,P01308,1,30,1,30,25,54
2118,1aiy,I,P01308,1,21,1,21,90,110
2119,1aiy,J,P01308,1,30,1,30,25,54
2120,1aiy,K,P01308,1,21,1,21,90,110
2121,1aiy,L,P01308,1,30,1,30,25,54
2124,1aj0,A,P0AC13,1,282,1,282,1,282
2126,1aj2,A,P0AC13,1,282,1,282,1,282
2133,1aj8,A,Q53554,1,371,6,376,7,377
2134,1aj8,B,Q53554,1,371,6,,7,377
2164,1ajv,A,P03366,1,99,1,99,501,599
2165,1ajv,B,P03366,1,99,1,99,501,599
2167,1ajx,A,P03366,1,99,1,99,501,599
2168,1ajx,B,P03366,1,99,1,99,501,599
2184,1aka,A,P00508,1,401,3,410,23,423
2185,1aka,B,P00508,1,401,3,410,23,423
2186,1akb,A,P00508,1,401,3,410,23,423
2187,1akc,A,P00508,1,401,3,410,23,423
2189,1ake,A,P69441,1,214,1,214,1,214
2190,1ake,B,P69441,1,214,1,214,1,214
2208,1akr,A,P00323,1,147,2,148,2,148
2212,1aku,A,P00323,1,147,2,148,2,148
2214,1akw,A,P00323,1,147,2,148,2,148
2215,1aky,A,P07170,1,220,,220,3,222
2232,1al7,A,P05414,1,359,1,359,1,359
2233,1al8,A,P05414,1,359,1,359,1,359
2259,1am1,A,P02829,1,213,2,214,2,214
2261,1am4,A,Q07960,1,199,36,234,233,431
2262,1am4,B,Q07960,1,199,36,234,233,431
2263,1am4,C,Q07960,1,199,36,234,233,431
2264,1am4,D,P60953,2,177,502,677,2,177
2265,1am4,E,P60953,2,177,502,677,2,177
2266,1am4,F,P60953,2,177,502,677,2,177
2291,1amo,A,P00388,1,615,64,678,64,678
2292,1amo,B,P00388,1,615,64,678,64,678
2299,1amw,A,P02829,1,214,,214,1,214
2312,1an5,A,P0A884,2,265,1,264,1,264
2313,1an5,B,P0A884,2,265,1,264,1,264
2329,1ank,A,P69441,1,214,1,214,1,214
2330,1ank,B,P69441,1,214,1,214,1,214
2343,1ao0,A,P00497,1,459,1,459,12,470
2344,1ao0,B,P00497,1,459,1,459,12,470
2345,1ao0,C,P00497,1,459,1,459,12,470
2346,1ao0,D,P00497,1,459,1,459,12,470
2359,1ao8,A,P00381,1,162,1,162,2,163
2361,1aob,A,P0A884,1,264,1,264,1,264
2365,1aoe,A,P22906,1,192,1,192,1,192
2366,1aoe,B,P22906,1,192,1,192,1,192
2473,1aq1,A,P24941,1,298,1,298,1,298
2474,1aq2,A,P22259,1,540,,540,1,540
2491,1aqb,A,P27485,1,183,1,,19,201
2517,1aqi,A,P14385,1,421,,,1,421
2518,1aqi,B,P14385,1,421,,,1,421
2532,1aqu,A,P49891,3,297,,,1,295
2533,1aqu,B,P49891,3,297,,,1,295
2534,1aqv,A,P09211,1,209,1,209,2,210
2535,1aqv,B,P09211,1,209,1,209,2,210
2540,1aqx,A,P09211,1,209,,209,2,210
2541,1aqx,B,P09211,1,209,,209,2,210
2542,1aqx,C,P09211,1,209,,209,2,210
2543,1aqx,D,P09211,1,209,,209,2,210
2581,1arg,A,P00509,1,396,5,409,1,396
2582,1arg,B,P00509,1,396,5,409,1,396
2583,1arh,A,P00509,1,396,5,409,1,396
2584,1arh,B,P00509,1,396,5,409,1,396
2604,1arz,A,P04036,1,273,,273,1,273
2605,1arz,B,P04036,1,273,,273,1,273
2606,1arz,C,P04036,1,273,,273,1,273
2607,1arz,D,P04036,1,273,,273,1,273
2624,1asb,A,P00509,1,396,13,408,1,396
2625,1asc,A,P00509,1,396,13,408,1,396
2685,1atl,A,P15167,1,202,,202,192,393
2686,1atl,B,P15167,1,202,,202,192,393
2687,1atn,A,P68135,2,373,1,372,3,374
2688,1atn,D,P00639,1,260,1,260,23,282
2691,1atr,A,P19120,1,386,,,1,386
2692,1ats,A,P19120,1,386,,,1,386
2749,1aux,A,P17599,1,311,,,110,420
2750,1aux,B,P17599,1,311,,,110,420
2761,1av5,A,P49773,2,126,,126,2,126
2762,1av5,B,P49773,2,126,,126,2,126
2774,1avd,A,P02701,1,128,,,25,152
2775,1avd,B,P02701,1,128,,,25,152
2921,1axe,A,P00327,1,374,1,374,2,375
2922,1axe,B,P00327,1,374,1,374,2,375
2923,1axg,A,P00327,1,374,1,374,2,375
2924,1axg,B,P00327,1,374,1,374,2,375
2925,1axg,C,P00327,1,374,1,374,2,375
2926,1axg,D,P00327,1,374,1,374,2,375
2949,1axw,A,P0A884,2,265,1,264,1,264
2950,1axw,B,P0A884,2,265,1,264,1,264
2954,1ay0,A,P23254,1,680,,680,1,680
2955,1ay0,B,P23254,1,680,,680,1,680
2959,1ay5,A,P95468,1,394,5,409,1,394
2960,1ay5,B,P95468,1,394,5,409,1,394
2986,1ayl,A,P22259,1,540,1,540,1,540
2997,1ayp,A,P14555,1,124,1,124,21,144
2998,1ayp,B,P14555,1,124,1,124,21,144
2999,1ayp,C,P14555,1,124,1,124,21,144
3000,1ayp,D,P14555,1,124,1,124,21,144
3001,1ayp,E,P14555,1,124,1,124,21,144
3002,1ayp,F,P14555,1,124,1,124,21,144
3020,1az1,A,P15121,1,315,,315,2,316
3021,1az2,A,P15121,1,315,,315,2,316
3046,1azl,A,P00323,1,147,2,148,2,148
3062,1azt,A,P04896,1,394,,,1,394
3063,1azt,B,P04896,1,394,,,1,394
3144,1b11,A,P16088,1,113,4,116,42,154
3150,1b14,A,P10807,1,254,1,254,1,254
3151,1b14,B,P10807,1,254,1,254,1,254
3152,1b15,A,P10807,1,254,1,254,1,254
3153,1b15,B,P10807,1,254,1,254,1,254
3154,1b16,A,P10807,1,254,1,254,1,254
3155,1b16,B,P10807,1,254,1,254,1,254
3228,1b2l,A,P10807,1,254,1,254,1,254
3235,1b2r,A,P21890,1,304,,303,137,440
3283,1b38,A,P24941,2,299,1,298,1,298
3284,1b39,A,P24941,2,299,1,298,1,298
3294,1b3d,A,P08254,1,173,83,,100,272
3295,1b3d,B,P08254,1,173,83,255,100,272
3313,1b3r,A,P10760,1,431,,431,2,432
3314,1b3r,B,P10760,1,431,,431,2,432
3315,1b3r,C,P10760,1,431,,431,2,432
3316,1b3r,D,P10760,1,431,,431,2,432
3348,1b48,A,P24472,1,221,2,222,2,222
3349,1b48,B,P24472,1,221,2,222,2,222
3385,1b4p,A,P08010,1,217,1,217,2,218
3396,1b4v,A,P12676,1,504,,,43,546
3419,1b5d,A,P08773,1,246,1,246,1,246
3420,1b5d,B,P08773,1,246,1,246,1,246
3421,1b5e,A,P08773,1,246,1,,1,246
3422,1b5e,B,P08773,1,246,1,,1,246
3440,1b5q,A,O64411,1,472,,,29,500
3441,1b5q,B,O64411,1,472,,,29,500
3442,1b5q,C,O64411,1,472,,,29,500
3448,1b5t,A,P0AEZ1,1,275,21,295,21,295
3449,1b5t,B,P0AEZ1,1,275,,295,21,295
3450,1b5t,C,P0AEZ1,1,275,,295,21,295
3491,1b6k,A,P03369,1,99,1,99,491,589
3492,1b6k,B,P03369,1,99,101,199,491,589
3493,1b6l,A,P03369,1,99,1,99,491,589
3494,1b6l,B,P03369,1,99,101,199,491,589
3495,1b6m,A,P03369,1,99,1,99,491,589
3496,1b6m,B,P03369,1,99,101,199,491,589
3497,1b6p,A,P03369,1,99,1,99,491,589
3498,1b6p,B,P03369,1,99,101,199,491,589
3532,1b7a,A,P13696,1,186,1,186,2,187
3533,1b7a,B,P13696,1,186,1,186,2,187
3556,1b7t,A,P24733,1,835,,835,1,835
3557,1b7t,Y,P13543,1,156,,,2,157
3558,1b7t,Z,P07291,1,156,,,2,157
3563,1b7y,A,P27001,1,350,,350,1,350
3564,1b7y,B,P27002,1,785,1,,1,785
3576,1b87,A,Q47764,1,181,1,181,1,181
3604,1b8n,A,P55859,1,284,,,1,284
3605,1b8o,A,P55859,1,284,,,1,284
3609,1b8s,A,P12676,1,504,,,43,546
3611,1b8u,A,Q9ZF99,1,329,,329,1,329
3612,1b8v,A,Q9ZF99,1,329,,329,1,329
3615,1b8y,A,P08254,1,167,83,249,100,266
3654,1b9i,A,O52552,1,388,,388,1,388
3705,1bai,A,P03322,1,124,1,124,578,701
3706,1bai,B,P03322,1,124,1,124,578,701
3799,1bc5,A,P07801,1,269,16,284,16,284
3845,1bcp,A,P04977,1,235,,235,35,269
3846,1bcp,B,P04978,1,199,,199,28,226
3847,1bcp,C,P04979,1,199,,199,29,227
3848,1bcp,D,P0A3R5,1,110,1,110,43,152
3849,1bcp,E,P0A3R5,1,110,1,110,43,152
3850,1bcp,F,P04981,1,99,,99,35,133
3851,1bcp,G,P04977,1,235,,235,35,269
3852,1bcp,H,P04978,1,199,,199,28,226
3853,1bcp,I,P04979,1,199,,199,29,227
3854,1bcp,J,P0A3R5,1,110,1,110,43,152
3855,1bcp,K,P0A3R5,1,110,1,110,43,152
3856,1bcp,L,P04981,1,99,,99,35,133
3862,1bcu,H,P00734,1,259,16,,364,622
3863,1bcu,I,P01050,1,12,,,54,65
3864,1bcu,L,P00734,1,36,,,328,363
3883,1bd4,A,Q26998,1,243,,244,2,244
3884,1bd4,B,Q26998,1,243,,244,2,244
3885,1bd4,C,Q26998,1,243,,244,2,244
3886,1bd4,D,Q26998,1,243,,244,2,244
3895,1bdb,A,P47227,1,277,1,,1,277
3905,1bdi,A,P0ACP7,1,340,,,2,341
3908,1bdl,A,P04587,1,99,1,99,501,599
3909,1bdl,B,P04587,1,99,1,99,501,599
3910,1bdm,A,P10584,1,327,0,332,1,327
3911,1bdm,B,P10584,1,327,0,332,1,327
3913,1bdq,A,P04587,1,99,1,99,501,599
3914,1bdq,B,P04587,1,99,1,99,501,599
3915,1bdr,A,P04587,1,99,1,99,501,599
3916,1bdr,B,P04587,1,99,1,99,501,599
3922,1bdu,A,P0A884,2,265,1,264,1,264
3947,1be4,A,P52175,1,151,2,152,2,152
3948,1be4,B,P52175,1,151,2,152,2,152
3949,1be4,C,P52175,1,151,2,152,2,152
3976,1beu,A,P00929,1,268,1,268,1,268
3977,1beu,B,P0A2K1,1,397,,,1,397
4000,1bfd,A,P20906,1,528,,,1,528
4089,1bgq,A,P02829,12,225,1,214,1,214
4128,1bh5,A,Q04760,1,183,,183,2,184
4129,1bh5,B,Q04760,1,183,,183,2,184
4130,1bh5,C,Q04760,1,183,,183,2,184
4131,1bh5,D,Q04760,1,183,,183,2,184
4206,1bi9,A,Q63639,1,499,2,500,20,518
4207,1bi9,B,Q63639,1,499,,500,20,518
4208,1bi9,C,Q63639,1,499,2,500,20,518
4209,1bi9,D,Q63639,1,499,2,500,20,518
4213,1bid,A,P0A884,2,265,1,264,1,264
4214,1bif,A,P25114,1,469,,468,1,469
4225,1bil,A,P00797,1,337,-2,326,70,406
4226,1bil,B,P00797,1,337,-2,326,70,406
4227,1bim,A,P00797,1,337,-2,326,70,406
4228,1bim,B,P00797,1,337,-2,326,70,406
4244,1biw,A,P08254,1,173,83,,100,272
4245,1biw,B,P08254,1,173,83,255,100,272
4275,1bjk,A,P21890,1,295,9,303,146,440
4285,1bjq,A,P05045,1,253,1,253,23,275
4286,1bjq,B,P05045,1,253,1,253,23,275
4287,1bjq,C,P05045,1,253,1,,23,275
4288,1bjq,D,P05045,1,253,1,,23,275
4289,1bjq,E,P05045,1,253,1,,23,275
4290,1bjq,F,P05045,1,253,1,,23,275
4291,1bjq,G,P05045,1,253,1,253,23,275
4292,1bjq,H,P05045,1,253,1,253,23,275
4301,1bk0,A,P05326,1,331,,331,1,331
4321,1bkf,A,P62942,1,107,1,107,2,108
4322,1bkg,A,Q56232,1,385,1,,1,385
4323,1bkg,B,Q56232,1,385,1,,1,385
4324,1bkg,C,Q56232,1,385,1,,1,385
4325,1bkg,D,Q56232,1,385,1,,1,385
4356,1bl4,A,P62942,1,107,1,107,2,108
4357,1bl4,B,P62942,1,107,1,107,2,108
4359,1bl6,A,Q16539,20,379,,,1,360
4360,1bl7,A,Q16539,20,379,,,1,360
4390,1blz,A,P05326,1,331,,331,1,331
4407,1bmd,A,P10584,1,327,0,332,1,327
4408,1bmd,B,P10584,1,327,0,332,1,327
4409,1bmf,A,P19483,1,510,,510,44,553
4410,1bmf,B,P19483,1,510,,510,44,553
4411,1bmf,C,P19483,1,510,,510,44,553
4412,1bmf,D,P00829,1,482,,,47,528
4413,1bmf,E,P00829,1,482,,,47,528
4414,1bmf,F,P00829,1,482,,,47,528
4415,1bmf,G,P05631,1,272,1,272,26,297
4417,1bmk,A,Q16539,20,379,,,1,360
4445,1bn1,A,P00918,1,259,,261,2,260
4446,1bn3,A,P00918,1,259,,261,2,260
4447,1bn4,A,P00918,1,259,,261,2,260
4448,1bn5,A,P50579,1,478,,478,1,478
4477,1bnm,A,P00918,1,259,,261,2,260
4478,1bnn,A,P00918,1,259,,261,2,260
4481,1bnq,A,P00918,1,259,,,2,260
4486,1bnt,A,P00918,1,259,,,2,260
4487,1bnu,A,P00918,1,259,,,2,260
4488,1bnv,A,P00918,1,259,,261,2,260
4489,1bnw,A,P00918,1,259,,,2,260
4495,1bo4,A,Q53396,1,168,,,1,168
4496,1bo4,B,Q53396,1,168,,,1,168
4505,1bob,A,Q12341,1,320,,320,1,320
4509,1bof,A,P10824,1,353,,354,2,354
4518,1boo,A,P11409,1,323,,,14,336
4550,1boz,A,P00374,1,186,1,186,2,187
4551,1bp0,A,P00469,1,316,1,316,1,316
4561,1bp6,A,P00469,1,316,1,316,1,316
4572,1bpj,A,P00469,1,316,1,316,1,316
4584,1bpw,A,P56533,1,503,1,503,1,503
4585,1bpw,B,P56533,1,503,1,503,1,503
4586,1bpw,C,P56533,1,503,1,503,1,503
4587,1bpw,D,P56533,1,503,1,503,1,503
4592,1bq1,A,P0A884,1,264,1,264,1,264
4593,1bq1,B,P0A884,1,264,1,264,1,264
4604,1bq6,A,P30074,1,388,2,389,2,389
4637,1bqo,A,P08254,1,173,83,,100,272
4638,1bqo,B,P08254,1,173,83,255,100,272
4715,1brp,A,P02753,1,182,1,,19,200
4793,1bsv,A,P32055,1,321,,,1,321
4864,1bu5,A,P00323,1,147,2,148,2,148
4865,1bu5,B,P00323,1,147,2,148,2,148
4876,1buc,A,Q06319,1,383,1,383,1,383
4877,1buc,B,Q06319,1,383,1,383,1,383
4893,1buq,A,P00947,1,125,1,125,1,125
4894,1buq,B,P00947,1,125,201,325,1,125
4903,1bux,A,P22887,1,155,,155,1,155
4904,1bux,B,P22887,1,155,,155,1,155
4905,1bux,C,P22887,1,155,,155,1,155
4915,1bv7,A,P04585,1,99,1,99,489,587
4916,1bv7,B,P04585,1,99,1,99,489,587
4918,1bv9,A,P04585,1,99,1,99,489,587
4919,1bv9,B,P04585,1,99,1,99,489,587
4924,1bve,A,P04585,1,99,1,99,489,587
4925,1bve,B,P04585,1,99,1,99,489,587
4926,1bvg,A,P04585,1,99,1,99,489,587
4927,1bvg,B,P04585,1,99,1,99,489,587
4946,1bvr,A,P9WGR1,1,268,2,269,2,269
4947,1bvr,B,P9WGR1,1,268,2,269,2,269
4948,1bvr,C,P9WGR1,1,268,2,269,2,269
4949,1bvr,D,P9WGR1,1,268,2,269,2,269
4950,1bvr,E,P9WGR1,1,268,2,269,2,269
4951,1bvr,F,P9WGR1,1,268,2,269,2,269
4975,1bw9,A,Q59771,1,356,,,1,356
4976,1bw9,B,Q59771,1,356,,,1,356
4977,1bwa,A,P04585,1,99,1,99,489,587
4978,1bwa,B,P04585,1,99,1,99,489,587
4979,1bwb,A,P04585,1,99,1,99,489,587
4980,1bwb,B,P04585,1,99,1,99,489,587
4981,1bwc,A,P00390,1,478,,478,45,522
4987,1bwf,O,P0A6F3,1,501,,,2,502
4988,1bwf,Y,P0A6F3,1,501,,,2,502
4992,1bwk,A,Q02899,1,398,1,398,2,399
4993,1bwl,A,Q02899,1,398,1,398,2,399
5002,1bws,A,P32055,1,321,,,1,321
5020,1bx0,A,P00455,1,314,,314,56,369
5021,1bx1,A,P00455,1,314,,314,56,369
5030,1bx6,A,P05132,1,350,,350,2,351
5033,1bx9,A,P46422,1,211,,210,2,212
5043,1bxd,A,P0AEJ4,1,161,290,450,290,450
5045,1bxg,A,Q59771,1,356,,,1,356
5046,1bxg,B,Q59771,1,356,,,1,356
5053,1bxk,A,P27830,1,355,1,,1,355
5054,1bxk,B,P27830,1,355,401,,1,355
5066,1bxo,A,P00798,1,323,1,323,1,323
5068,1bxq,A,P00798,1,323,1,323,1,323
5069,1bxr,A,P00968,1,1073,1,1073,1,1073
5070,1bxr,B,P0A6F1,1,382,,,1,382
5071,1bxr,C,P00968,1,1073,1,1073,1,1073
5072,1bxr,D,P0A6F1,1,382,,,1,382
5073,1bxr,E,P00968,1,1073,1,1073,1,1073
5074,1bxr,F,P0A6F1,1,382,,,1,382
5075,1bxr,G,P00968,1,1073,1,1073,1,1073
5076,1bxr,H,P0A6F1,1,382,,,1,382
5077,1bxs,A,P51977,1,501,,500,1,501
5078,1bxs,B,P51977,1,501,,500,1,501
5079,1bxs,C,P51977,1,501,,500,1,501
5080,1bxs,D,P51977,1,501,,500,1,501
5101,1by5,A,P06971,1,714,,714,34,747
5110,1bye,A,P12653,1,213,1,213,2,214
5111,1bye,B,P12653,1,213,1,213,2,214
5112,1bye,C,P12653,1,213,1,213,2,214
5113,1bye,D,P12653,1,213,1,213,2,214
5116,1byg,A,P41240,1,278,,,173,450
5125,1byq,A,P07900,1,228,,,9,236
5159,1bzf,A,P00381,1,162,1,162,2,163
5164,1bzl,A,P28593,1,486,2,487,2,487
5165,1bzl,B,P28593,1,486,,487,2,487
5166,1bzm,A,P00915,1,260,1,260,2,261
5174,1bzs,A,P22894,1,165,79,243,99,263
5211,1c0a,A,P21889,1,585,1,585,1,585
5216,1c0f,A,P07830,1,368,1,375,2,376
5217,1c0f,S,P06396,4,127,4,127,53,176
5220,1c0i,A,P80324,3,363,1001,1361,1,361
5221,1c0k,A,P80324,3,363,1001,1361,1,361
