PDB,CHAIN,ACCESSION,EC_NUMBER
10qr,B,P55072,3.6.4.6
10qr,C,P55072,3.6.4.6
10qr,D,P55072,3.6.4.6
10qr,E,P55072,3.6.4.6
10qr,F,P55072,3.6.4.6
10qs,A,P03952,3.4.21.34
10uh,A,Q8YDF2,2.8.3.-
10uh,B,Q8YDF2,2.8.3.-
10uh,C,Q8YDF2,2.8.3.-
10ui,A,Q8YDF2,2.8.3.-
10ui,B,Q8YDF2,2.8.3.-
10ui,C,Q8YDF2,2.8.3.-
10ui,D,Q8YDF2,2.8.3.-
10ye,L,P49916,6.5.1.1
10yf,L,P49916,6.5.1.1
10yg,L,P49916,6.5.1.1
10yh,L,P49916,6.5.1.1
10yi,L,P49916,6.5.1.1
110l,A,P00720,3.2.1.17
110m,A,P02185,1.11.1.-
110m,A,P02185,1.7.-.-
111l,A,P00720,3.2.1.17
111m,A,P02185,1.11.1.-
111m,A,P02185,1.7.-.-
112l,A,P00720,3.2.1.17
112m,A,P02185,1.11.1.-
112m,A,P02185,1.7.-.-
113l,A,P00720,3.2.1.17
114l,A,P00720,3.2.1.17
115l,A,P00720,3.2.1.17
117e,A,P00817,3.6.1.1
117e,B,P00817,3.6.1.1
118l,A,P00720,3.2.1.17
119l,A,P00720,3.2.1.17
11as,A,P00963,6.3.1.1
11as,B,P00963,6.3.1.1
11ba,A,P00669,4.6.1.18
11ba,B,P00669,4.6.1.18
11bg,A,P00669,4.6.1.18
11bg,B,P00669,4.6.1.18
11bl,A,A0A0H3GDY9,2.7.1.15
11bl,B,A0A0H3GDY9,2.7.1.15
11bl,C,A0A0H3GDY9,2.7.1.15
11bl,D,A0A0H3GDY9,2.7.1.15
11gs,A,P09211,2.5.1.18
11gs,B,P09211,2.5.1.18
11mm,A,Q8NEB9,2.7.1.137
11qe,A,P01116,3.6.5.2
11yc,B,Q8NEB9,2.7.1.137
11yo,A,P0A444,1.10.3.9
11yo,D,Q8CM25,1.10.3.9
11yo,a,P0A444,1.10.3.9
11yo,d,Q8CM25,1.10.3.9
11yz,A,P9WN57,3.5.4.16
11yz,B,P9WN57,3.5.4.16
11yz,C,P9WN57,3.5.4.16
11yz,D,P9WN57,3.5.4.16
11yz,E,P9WN57,3.5.4.16
11yz,F,P9WN57,3.5.4.16
11yz,G,P9WN57,3.5.4.16
11yz,H,P9WN57,3.5.4.16
11yz,I,P9WN57,3.5.4.16
11yz,J,P9WN57,3.5.4.16
120l,A,P00720,3.2.1.17
121p,A,P01112,3.6.5.2
122l,A,P00720,3.2.1.17
123l,A,P00720,3.2.1.17
125l,A,P00720,3.2.1.17
126l,A,P00720,3.2.1.17
127l,A,P00720,3.2.1.17
128l,A,P00720,3.2.1.17
129l,A,P00720,3.2.1.17
12as,A,P00963,6.3.1.1
12as,B,P00963,6.3.1.1
12ca,A,P00918,4.2.1.1
12ca,A,P00918,4.2.1.69
12gs,A,P09211,2.5.1.18
12gs,B,P09211,2.5.1.18
130l,A,P00720,3.2.1.17
131l,A,P00720,3.2.1.17
132l,A,P00698,3.2.1.17
133l,A,P61626,3.2.1.17
134l,A,P61626,3.2.1.17
135l,A,P00703,3.2.1.17
137l,A,P00720,3.2.1.17
137l,B,P00720,3.2.1.17
138l,A,P00720,3.2.1.17
139l,A,P00720,3.2.1.17
13gs,A,P09211,2.5.1.18
13gs,B,P09211,2.5.1.18
13mi,A,P0DTD1,2.1.1.56
13mi,A,P0DTD1,2.1.1.57
13mi,A,P0DTD1,2.7.7.48
13mi,A,P0DTD1,2.7.7.50
13mi,A,P0DTD1,3.1.13.-
13mi,A,P0DTD1,3.4.19.12
13mi,A,P0DTD1,3.4.22.-
13mi,A,P0DTD1,3.4.22.69
13mi,A,P0DTD1,3.6.4.12
13mi,A,P0DTD1,3.6.4.13
13mi,A,P0DTD1,4.6.1.-
13mj,A,P0DTD1,2.1.1.56
13mj,A,P0DTD1,2.1.1.57
13mj,A,P0DTD1,2.7.7.48
13mj,A,P0DTD1,2.7.7.50
13mj,A,P0DTD1,3.1.13.-
13mj,A,P0DTD1,3.4.19.12
13mj,A,P0DTD1,3.4.22.-
13mj,A,P0DTD1,3.4.22.69
13mj,A,P0DTD1,3.6.4.12
13mj,A,P0DTD1,3.6.4.13
13mj,A,P0DTD1,4.6.1.-
13mk,A,P0DTD1,2.1.1.56
13mk,A,P0DTD1,2.1.1.57
13mk,A,P0DTD1,2.7.7.48
13mk,A,P0DTD1,2.7.7.50
13mk,A,P0DTD1,3.1.13.-
13mk,A,P0DTD1,3.4.19.12
13mk,A,P0DTD1,3.4.22.-
13mk,A,P0DTD1,3.4.22.69
13mk,A,P0DTD1,3.6.4.12
13mk,A,P0DTD1,3.6.4.13
13mk,A,P0DTD1,4.6.1.-
13ml,A,P0DTD1,2.1.1.56
13ml,A,P0DTD1,2.1.1.57
13ml,A,P0DTD1,2.7.7.48
13ml,A,P0DTD1,2.7.7.50
13ml,A,P0DTD1,3.1.13.-
13ml,A,P0DTD1,3.4.19.12
13ml,A,P0DTD1,3.4.22.-
13ml,A,P0DTD1,3.4.22.69
13ml,A,P0DTD1,3.6.4.12
13ml,A,P0DTD1,3.6.4.13
13ml,A,P0DTD1,4.6.1.-
13mm,A,P0DTD1,2.1.1.56
13mm,A,P0DTD1,2.1.1.57
13mm,A,P0DTD1,2.7.7.48
13mm,A,P0DTD1,2.7.7.50
13mm,A,P0DTD1,3.1.13.-
13mm,A,P0DTD1,3.4.19.12
13mm,A,P0DTD1,3.4.22.-
13mm,A,P0DTD1,3.4.22.69
13mm,A,P0DTD1,3.6.4.12
13mm,A,P0DTD1,3.6.4.13
13mm,A,P0DTD1,4.6.1.-
13mn,A,P0DTD1,2.1.1.56
13mn,A,P0DTD1,2.1.1.57
13mn,A,P0DTD1,2.7.7.48
13mn,A,P0DTD1,2.7.7.50
13mn,A,P0DTD1,3.1.13.-
13mn,A,P0DTD1,3.4.19.12
13mn,A,P0DTD1,3.4.22.-
13mn,A,P0DTD1,3.4.22.69
13mn,A,P0DTD1,3.6.4.12
13mn,A,P0DTD1,3.6.4.13
13mn,A,P0DTD1,4.6.1.-
13mo,A,P0DTD1,2.1.1.56
13mo,A,P0DTD1,2.1.1.57
13mo,A,P0DTD1,2.7.7.48
13mo,A,P0DTD1,2.7.7.50
13mo,A,P0DTD1,3.1.13.-
13mo,A,P0DTD1,3.4.19.12
13mo,A,P0DTD1,3.4.22.-
13mo,A,P0DTD1,3.4.22.69
13mo,A,P0DTD1,3.6.4.12
13mo,A,P0DTD1,3.6.4.13
13mo,A,P0DTD1,4.6.1.-
13mp,A,P0DTD1,2.1.1.56
13mp,A,P0DTD1,2.1.1.57
13mp,A,P0DTD1,2.7.7.48
13mp,A,P0DTD1,2.7.7.50
13mp,A,P0DTD1,3.1.13.-
13mp,A,P0DTD1,3.4.19.12
13mp,A,P0DTD1,3.4.22.-
13mp,A,P0DTD1,3.4.22.69
13mp,A,P0DTD1,3.6.4.12
13mp,A,P0DTD1,3.6.4.13
13mp,A,P0DTD1,4.6.1.-
13mq,A,P0DTD1,2.1.1.56
13mq,A,P0DTD1,2.1.1.57
13mq,A,P0DTD1,2.7.7.48
13mq,A,P0DTD1,2.7.7.50
13mq,A,P0DTD1,3.1.13.-
13mq,A,P0DTD1,3.4.19.12
13mq,A,P0DTD1,3.4.22.-
13mq,A,P0DTD1,3.4.22.69
13mq,A,P0DTD1,3.6.4.12
13mq,A,P0DTD1,3.6.4.13
13mq,A,P0DTD1,4.6.1.-
13mr,A,P0DTD1,2.1.1.56
13mr,A,P0DTD1,2.1.1.57
13mr,A,P0DTD1,2.7.7.48
13mr,A,P0DTD1,2.7.7.50
13mr,A,P0DTD1,3.1.13.-
13mr,A,P0DTD1,3.4.19.12
13mr,A,P0DTD1,3.4.22.-
13mr,A,P0DTD1,3.4.22.69
13mr,A,P0DTD1,3.6.4.12
13mr,A,P0DTD1,3.6.4.13
13mr,A,P0DTD1,4.6.1.-
13ms,A,P0DTD1,2.1.1.56
13ms,A,P0DTD1,2.1.1.57
13ms,A,P0DTD1,2.7.7.48
13ms,A,P0DTD1,2.7.7.50
13ms,A,P0DTD1,3.1.13.-
13ms,A,P0DTD1,3.4.19.12
13ms,A,P0DTD1,3.4.22.-
13ms,A,P0DTD1,3.4.22.69
13ms,A,P0DTD1,3.6.4.12
13ms,A,P0DTD1,3.6.4.13
13ms,A,P0DTD1,4.6.1.-
13mt,A,P0DTD1,2.1.1.56
13mt,A,P0DTD1,2.1.1.57
13mt,A,P0DTD1,2.7.7.48
13mt,A,P0DTD1,2.7.7.50
13mt,A,P0DTD1,3.1.13.-
13mt,A,P0DTD1,3.4.19.12
13mt,A,P0DTD1,3.4.22.-
13mt,A,P0DTD1,3.4.22.69
13mt,A,P0DTD1,3.6.4.12
13mt,A,P0DTD1,3.6.4.13
13mt,A,P0DTD1,4.6.1.-
13mu,A,P0DTD1,2.1.1.56
13mu,A,P0DTD1,2.1.1.57
13mu,A,P0DTD1,2.7.7.48
13mu,A,P0DTD1,2.7.7.50
13mu,A,P0DTD1,3.1.13.-
13mu,A,P0DTD1,3.4.19.12
13mu,A,P0DTD1,3.4.22.-
13mu,A,P0DTD1,3.4.22.69
13mu,A,P0DTD1,3.6.4.12
13mu,A,P0DTD1,3.6.4.13
13mu,A,P0DTD1,4.6.1.-
13mv,A,P0DTD1,2.1.1.56
13mv,A,P0DTD1,2.1.1.57
13mv,A,P0DTD1,2.7.7.48
13mv,A,P0DTD1,2.7.7.50
13mv,A,P0DTD1,3.1.13.-
13mv,A,P0DTD1,3.4.19.12
13mv,A,P0DTD1,3.4.22.-
13mv,A,P0DTD1,3.4.22.69
13mv,A,P0DTD1,3.6.4.12
13mv,A,P0DTD1,3.6.4.13
13mv,A,P0DTD1,4.6.1.-
13mw,A,P0DTD1,2.1.1.56
13mw,A,P0DTD1,2.1.1.57
13mw,A,P0DTD1,2.7.7.48
13mw,A,P0DTD1,2.7.7.50
13mw,A,P0DTD1,3.1.13.-
13mw,A,P0DTD1,3.4.19.12
13mw,A,P0DTD1,3.4.22.-
13mw,A,P0DTD1,3.4.22.69
13mw,A,P0DTD1,3.6.4.12
13mw,A,P0DTD1,3.6.4.13
13mw,A,P0DTD1,4.6.1.-
13mx,A,P0DTD1,2.1.1.56
13mx,A,P0DTD1,2.1.1.57
13mx,A,P0DTD1,2.7.7.48
13mx,A,P0DTD1,2.7.7.50
13mx,A,P0DTD1,3.1.13.-
13mx,A,P0DTD1,3.4.19.12
13mx,A,P0DTD1,3.4.22.-
13mx,A,P0DTD1,3.4.22.69
13mx,A,P0DTD1,3.6.4.12
13mx,A,P0DTD1,3.6.4.13
13mx,A,P0DTD1,4.6.1.-
13my,A,P0DTD1,2.1.1.56
13my,A,P0DTD1,2.1.1.57
13my,A,P0DTD1,2.7.7.48
13my,A,P0DTD1,2.7.7.50
13my,A,P0DTD1,3.1.13.-
13my,A,P0DTD1,3.4.19.12
13my,A,P0DTD1,3.4.22.-
13my,A,P0DTD1,3.4.22.69
13my,A,P0DTD1,3.6.4.12
13my,A,P0DTD1,3.6.4.13
13my,A,P0DTD1,4.6.1.-
13mz,A,P0DTD1,2.1.1.56
13mz,A,P0DTD1,2.1.1.57
13mz,A,P0DTD1,2.7.7.48
13mz,A,P0DTD1,2.7.7.50
13mz,A,P0DTD1,3.1.13.-
13mz,A,P0DTD1,3.4.19.12
13mz,A,P0DTD1,3.4.22.-
13mz,A,P0DTD1,3.4.22.69
13mz,A,P0DTD1,3.6.4.12
13mz,A,P0DTD1,3.6.4.13
13mz,A,P0DTD1,4.6.1.-
13na,A,P0DTD1,2.1.1.56
13na,A,P0DTD1,2.1.1.57
13na,A,P0DTD1,2.7.7.48
13na,A,P0DTD1,2.7.7.50
13na,A,P0DTD1,3.1.13.-
13na,A,P0DTD1,3.4.19.12
13na,A,P0DTD1,3.4.22.-
13na,A,P0DTD1,3.4.22.69
13na,A,P0DTD1,3.6.4.12
13na,A,P0DTD1,3.6.4.13
13na,A,P0DTD1,4.6.1.-
13nb,A,P0DTD1,2.1.1.56
13nb,A,P0DTD1,2.1.1.57
13nb,A,P0DTD1,2.7.7.48
13nb,A,P0DTD1,2.7.7.50
13nb,A,P0DTD1,3.1.13.-
13nb,A,P0DTD1,3.4.19.12
13nb,A,P0DTD1,3.4.22.-
13nb,A,P0DTD1,3.4.22.69
13nb,A,P0DTD1,3.6.4.12
13nb,A,P0DTD1,3.6.4.13
13nb,A,P0DTD1,4.6.1.-
13nc,A,P0DTD1,2.1.1.56
13nc,A,P0DTD1,2.1.1.57
13nc,A,P0DTD1,2.7.7.48
13nc,A,P0DTD1,2.7.7.50
13nc,A,P0DTD1,3.1.13.-
13nc,A,P0DTD1,3.4.19.12
13nc,A,P0DTD1,3.4.22.-
13nc,A,P0DTD1,3.4.22.69
13nc,A,P0DTD1,3.6.4.12
13nc,A,P0DTD1,3.6.4.13
13nc,A,P0DTD1,4.6.1.-
13nd,A,P0DTD1,2.1.1.56
13nd,A,P0DTD1,2.1.1.57
13nd,A,P0DTD1,2.7.7.48
13nd,A,P0DTD1,2.7.7.50
13nd,A,P0DTD1,3.1.13.-
13nd,A,P0DTD1,3.4.19.12
13nd,A,P0DTD1,3.4.22.-
13nd,A,P0DTD1,3.4.22.69
13nd,A,P0DTD1,3.6.4.12
13nd,A,P0DTD1,3.6.4.13
13nd,A,P0DTD1,4.6.1.-
13ne,A,P0DTD1,2.1.1.56
13ne,A,P0DTD1,2.1.1.57
13ne,A,P0DTD1,2.7.7.48
13ne,A,P0DTD1,2.7.7.50
13ne,A,P0DTD1,3.1.13.-
13ne,A,P0DTD1,3.4.19.12
13ne,A,P0DTD1,3.4.22.-
13ne,A,P0DTD1,3.4.22.69
13ne,A,P0DTD1,3.6.4.12
13ne,A,P0DTD1,3.6.4.13
13ne,A,P0DTD1,4.6.1.-
13nf,A,P0DTD1,2.1.1.56
13nf,A,P0DTD1,2.1.1.57
13nf,A,P0DTD1,2.7.7.48
13nf,A,P0DTD1,2.7.7.50
13nf,A,P0DTD1,3.1.13.-
13nf,A,P0DTD1,3.4.19.12
13nf,A,P0DTD1,3.4.22.-
13nf,A,P0DTD1,3.4.22.69
13nf,A,P0DTD1,3.6.4.12
13nf,A,P0DTD1,3.6.4.13
13nf,A,P0DTD1,4.6.1.-
13ng,A,P0DTD1,2.1.1.56
13ng,A,P0DTD1,2.1.1.57
13ng,A,P0DTD1,2.7.7.48
13ng,A,P0DTD1,2.7.7.50
13ng,A,P0DTD1,3.1.13.-
13ng,A,P0DTD1,3.4.19.12
13ng,A,P0DTD1,3.4.22.-
13ng,A,P0DTD1,3.4.22.69
13ng,A,P0DTD1,3.6.4.12
13ng,A,P0DTD1,3.6.4.13
13ng,A,P0DTD1,4.6.1.-
13nh,A,P0DTD1,2.1.1.56
13nh,A,P0DTD1,2.1.1.57
13nh,A,P0DTD1,2.7.7.48
13nh,A,P0DTD1,2.7.7.50
13nh,A,P0DTD1,3.1.13.-
13nh,A,P0DTD1,3.4.19.12
13nh,A,P0DTD1,3.4.22.-
13nh,A,P0DTD1,3.4.22.69
13nh,A,P0DTD1,3.6.4.12
13nh,A,P0DTD1,3.6.4.13
13nh,A,P0DTD1,4.6.1.-
13ni,A,P0DTD1,2.1.1.56
13ni,A,P0DTD1,2.1.1.57
13ni,A,P0DTD1,2.7.7.48
13ni,A,P0DTD1,2.7.7.50
13ni,A,P0DTD1,3.1.13.-
13ni,A,P0DTD1,3.4.19.12
13ni,A,P0DTD1,3.4.22.-
13ni,A,P0DTD1,3.4.22.69
13ni,A,P0DTD1,3.6.4.12
13ni,A,P0DTD1,3.6.4.13
13ni,A,P0DTD1,4.6.1.-
13nj,A,P0DTD1,2.1.1.56
13nj,A,P0DTD1,2.1.1.57
13nj,A,P0DTD1,2.7.7.48
13nj,A,P0DTD1,2.7.7.50
13nj,A,P0DTD1,3.1.13.-
13nj,A,P0DTD1,3.4.19.12
13nj,A,P0DTD1,3.4.22.-
13nj,A,P0DTD1,3.4.22.69
13nj,A,P0DTD1,3.6.4.12
13nj,A,P0DTD1,3.6.4.13
13nj,A,P0DTD1,4.6.1.-
13nk,A,P0DTD1,2.1.1.56
13nk,A,P0DTD1,2.1.1.57
13nk,A,P0DTD1,2.7.7.48
13nk,A,P0DTD1,2.7.7.50
13nk,A,P0DTD1,3.1.13.-
13nk,A,P0DTD1,3.4.19.12
13nk,A,P0DTD1,3.4.22.-
13nk,A,P0DTD1,3.4.22.69
13nk,A,P0DTD1,3.6.4.12
13nk,A,P0DTD1,3.6.4.13
13nk,A,P0DTD1,4.6.1.-
13nl,A,P0DTD1,2.1.1.56
13nl,A,P0DTD1,2.1.1.57
13nl,A,P0DTD1,2.7.7.48
13nl,A,P0DTD1,2.7.7.50
13nl,A,P0DTD1,3.1.13.-
13nl,A,P0DTD1,3.4.19.12
13nl,A,P0DTD1,3.4.22.-
13nl,A,P0DTD1,3.4.22.69
13nl,A,P0DTD1,3.6.4.12
13nl,A,P0DTD1,3.6.4.13
13nl,A,P0DTD1,4.6.1.-
13nm,A,P0DTD1,2.1.1.56
13nm,A,P0DTD1,2.1.1.57
13nm,A,P0DTD1,2.7.7.48
13nm,A,P0DTD1,2.7.7.50
13nm,A,P0DTD1,3.1.13.-
13nm,A,P0DTD1,3.4.19.12
13nm,A,P0DTD1,3.4.22.-
13nm,A,P0DTD1,3.4.22.69
13nm,A,P0DTD1,3.6.4.12
13nm,A,P0DTD1,3.6.4.13
13nm,A,P0DTD1,4.6.1.-
13nn,A,P0DTD1,2.1.1.56
13nn,A,P0DTD1,2.1.1.57
13nn,A,P0DTD1,2.7.7.48
13nn,A,P0DTD1,2.7.7.50
13nn,A,P0DTD1,3.1.13.-
13nn,A,P0DTD1,3.4.19.12
13nn,A,P0DTD1,3.4.22.-
13nn,A,P0DTD1,3.4.22.69
13nn,A,P0DTD1,3.6.4.12
13nn,A,P0DTD1,3.6.4.13
13nn,A,P0DTD1,4.6.1.-
13no,A,P0DTD1,2.1.1.56
13no,A,P0DTD1,2.1.1.57
13no,A,P0DTD1,2.7.7.48
13no,A,P0DTD1,2.7.7.50
13no,A,P0DTD1,3.1.13.-
13no,A,P0DTD1,3.4.19.12
13no,A,P0DTD1,3.4.22.-
13no,A,P0DTD1,3.4.22.69
13no,A,P0DTD1,3.6.4.12
13no,A,P0DTD1,3.6.4.13
13no,A,P0DTD1,4.6.1.-
13np,A,P0DTD1,2.1.1.56
13np,A,P0DTD1,2.1.1.57
13np,A,P0DTD1,2.7.7.48
13np,A,P0DTD1,2.7.7.50
13np,A,P0DTD1,3.1.13.-
13np,A,P0DTD1,3.4.19.12
13np,A,P0DTD1,3.4.22.-
13np,A,P0DTD1,3.4.22.69
13np,A,P0DTD1,3.6.4.12
13np,A,P0DTD1,3.6.4.13
13np,A,P0DTD1,4.6.1.-
13nq,A,P0DTD1,2.1.1.56
13nq,A,P0DTD1,2.1.1.57
13nq,A,P0DTD1,2.7.7.48
13nq,A,P0DTD1,2.7.7.50
13nq,A,P0DTD1,3.1.13.-
13nq,A,P0DTD1,3.4.19.12
13nq,A,P0DTD1,3.4.22.-
13nq,A,P0DTD1,3.4.22.69
13nq,A,P0DTD1,3.6.4.12
13nq,A,P0DTD1,3.6.4.13
13nq,A,P0DTD1,4.6.1.-
13nr,A,P0DTD1,2.1.1.56
13nr,A,P0DTD1,2.1.1.57
13nr,A,P0DTD1,2.7.7.48
13nr,A,P0DTD1,2.7.7.50
13nr,A,P0DTD1,3.1.13.-
13nr,A,P0DTD1,3.4.19.12
13nr,A,P0DTD1,3.4.22.-
13nr,A,P0DTD1,3.4.22.69
13nr,A,P0DTD1,3.6.4.12
13nr,A,P0DTD1,3.6.4.13
13nr,A,P0DTD1,4.6.1.-
13ns,A,P0DTD1,2.1.1.56
13ns,A,P0DTD1,2.1.1.57
13ns,A,P0DTD1,2.7.7.48
13ns,A,P0DTD1,2.7.7.50
13ns,A,P0DTD1,3.1.13.-
13ns,A,P0DTD1,3.4.19.12
13ns,A,P0DTD1,3.4.22.-
13ns,A,P0DTD1,3.4.22.69
13ns,A,P0DTD1,3.6.4.12
13ns,A,P0DTD1,3.6.4.13
13ns,A,P0DTD1,4.6.1.-
13nt,A,P0DTD1,2.1.1.56
13nt,A,P0DTD1,2.1.1.57
13nt,A,P0DTD1,2.7.7.48
13nt,A,P0DTD1,2.7.7.50
13nt,A,P0DTD1,3.1.13.-
13nt,A,P0DTD1,3.4.19.12
13nt,A,P0DTD1,3.4.22.-
13nt,A,P0DTD1,3.4.22.69
13nt,A,P0DTD1,3.6.4.12
13nt,A,P0DTD1,3.6.4.13
13nt,A,P0DTD1,4.6.1.-
13nu,A,P0DTD1,2.1.1.56
13nu,A,P0DTD1,2.1.1.57
13nu,A,P0DTD1,2.7.7.48
13nu,A,P0DTD1,2.7.7.50
13nu,A,P0DTD1,3.1.13.-
13nu,A,P0DTD1,3.4.19.12
13nu,A,P0DTD1,3.4.22.-
13nu,A,P0DTD1,3.4.22.69
13nu,A,P0DTD1,3.6.4.12
13nu,A,P0DTD1,3.6.4.13
13nu,A,P0DTD1,4.6.1.-
13nv,A,P0DTD1,2.1.1.56
13nv,A,P0DTD1,2.1.1.57
13nv,A,P0DTD1,2.7.7.48
13nv,A,P0DTD1,2.7.7.50
13nv,A,P0DTD1,3.1.13.-
13nv,A,P0DTD1,3.4.19.12
13nv,A,P0DTD1,3.4.22.-
13nv,A,P0DTD1,3.4.22.69
13nv,A,P0DTD1,3.6.4.12
13nv,A,P0DTD1,3.6.4.13
13nv,A,P0DTD1,4.6.1.-
13nw,A,P0DTD1,2.1.1.56
13nw,A,P0DTD1,2.1.1.57
13nw,A,P0DTD1,2.7.7.48
13nw,A,P0DTD1,2.7.7.50
13nw,A,P0DTD1,3.1.13.-
13nw,A,P0DTD1,3.4.19.12
13nw,A,P0DTD1,3.4.22.-
13nw,A,P0DTD1,3.4.22.69
13nw,A,P0DTD1,3.6.4.12
13nw,A,P0DTD1,3.6.4.13
13nw,A,P0DTD1,4.6.1.-
13nx,A,P0DTD1,2.1.1.56
13nx,A,P0DTD1,2.1.1.57
13nx,A,P0DTD1,2.7.7.48
13nx,A,P0DTD1,2.7.7.50
13nx,A,P0DTD1,3.1.13.-
13nx,A,P0DTD1,3.4.19.12
13nx,A,P0DTD1,3.4.22.-
13nx,A,P0DTD1,3.4.22.69
13nx,A,P0DTD1,3.6.4.12
13nx,A,P0DTD1,3.6.4.13
13nx,A,P0DTD1,4.6.1.-
13ny,A,P0DTD1,2.1.1.56
13ny,A,P0DTD1,2.1.1.57
13ny,A,P0DTD1,2.7.7.48
13ny,A,P0DTD1,2.7.7.50
13ny,A,P0DTD1,3.1.13.-
13ny,A,P0DTD1,3.4.19.12
13ny,A,P0DTD1,3.4.22.-
13ny,A,P0DTD1,3.4.22.69
13ny,A,P0DTD1,3.6.4.12
13ny,A,P0DTD1,3.6.4.13
13ny,A,P0DTD1,4.6.1.-
13nz,A,P0DTD1,2.1.1.56
13nz,A,P0DTD1,2.1.1.57
13nz,A,P0DTD1,2.7.7.48
13nz,A,P0DTD1,2.7.7.50
13nz,A,P0DTD1,3.1.13.-
13nz,A,P0DTD1,3.4.19.12
13nz,A,P0DTD1,3.4.22.-
13nz,A,P0DTD1,3.4.22.69
13nz,A,P0DTD1,3.6.4.12
13nz,A,P0DTD1,3.6.4.13
13nz,A,P0DTD1,4.6.1.-
13oa,A,P0DTD1,2.1.1.56
13oa,A,P0DTD1,2.1.1.57
13oa,A,P0DTD1,2.7.7.48
13oa,A,P0DTD1,2.7.7.50
13oa,A,P0DTD1,3.1.13.-
13oa,A,P0DTD1,3.4.19.12
13oa,A,P0DTD1,3.4.22.-
13oa,A,P0DTD1,3.4.22.69
13oa,A,P0DTD1,3.6.4.12
13oa,A,P0DTD1,3.6.4.13
13oa,A,P0DTD1,4.6.1.-
13ob,A,P0DTD1,2.1.1.56
13ob,A,P0DTD1,2.1.1.57
13ob,A,P0DTD1,2.7.7.48
13ob,A,P0DTD1,2.7.7.50
13ob,A,P0DTD1,3.1.13.-
13ob,A,P0DTD1,3.4.19.12
13ob,A,P0DTD1,3.4.22.-
13ob,A,P0DTD1,3.4.22.69
13ob,A,P0DTD1,3.6.4.12
13ob,A,P0DTD1,3.6.4.13
13ob,A,P0DTD1,4.6.1.-
13oc,A,P0DTD1,2.1.1.56
13oc,A,P0DTD1,2.1.1.57
13oc,A,P0DTD1,2.7.7.48
13oc,A,P0DTD1,2.7.7.50
13oc,A,P0DTD1,3.1.13.-
13oc,A,P0DTD1,3.4.19.12
13oc,A,P0DTD1,3.4.22.-
13oc,A,P0DTD1,3.4.22.69
13oc,A,P0DTD1,3.6.4.12
13oc,A,P0DTD1,3.6.4.13
13oc,A,P0DTD1,4.6.1.-
13od,A,P0DTD1,2.1.1.56
13od,A,P0DTD1,2.1.1.57
13od,A,P0DTD1,2.7.7.48
13od,A,P0DTD1,2.7.7.50
